year,corps_name,rank,score
2013,Carolina Crown,1,98.300
2013,Blue Devils,2,98.050
2013,The Cadets,3,96.950
2013,Santa Clara Vanguard,4,96.850
2013,Bluecoats,5,93.350
2013,Phantom Regiment,6,93.250
2013,The Cavaliers,7,90.500
2013,Boston Crusaders,8,90.400
2013,Madison Scouts,9,90.100
2013,Blue Knights,10,87.750
2013,Spirit of Atlanta,11,86.400
2013,Blue Stars,12,85.450
2014,Blue Devils,1,99.650
2014,Bluecoats,2,97.175
2014,The Cadets,3,96.875
2014,Santa Clara Vanguard,4,96.075
2014,Carolina Crown,5,95.675
2014,The Cavaliers,6,93.675
2014,Phantom Regiment,7,91.425
2014,Blue Knights,8,91.150
2014,Blue Stars,9,89.600
2014,Boston Crusaders,10,88.950
2014,Madison Scouts,11,87.575
2014,Crossmen,12,86.225
2015,Blue Devils,1,97.650
2015,Carolina Crown,2,97.075
2015,Bluecoats,3,96.925
2015,The Cadets,4,95.900
2015,Santa Clara Vanguard,5,93.850
2015,Blue Knights,6,91.850
2015,Phantom Regiment,7,90.325
2015,Madison Scouts,8,88.750
2015,The Cavaliers,9,88.325
2015,Boston Crusaders,10,86.800
2015,Blue Stars,11,85.150
2015,Crossmen,12,85.025
2016,Bluecoats,1,97.650
2016,Blue Devils,2,97.250
2016,Carolina Crown,3,97.088
2016,Santa Clara Vanguard,4,95.300
2016,The Cavaliers,5,94.025
2016,The Cadets,6,92.763
2016,Blue Knights,7,90.738
2016,Phantom Regiment,8,89.963
2016,Blue Stars,9,89.050
2016,Crossmen,10,86.975
2016,The Academy,11,86.100
2016,Boston Crusaders,12,84.800
2017,Blue Devils,1,98.538
2017,Santa Clara Vanguard,2,97.600
2017,Carolina Crown,3,96.575
2017,The Cavaliers,4,95.200
2017,Bluecoats,5,95.163
2017,Boston Crusaders,6,92.962
2017,The Cadets,7,91.675
2017,Blue Knights,8,90.400
2017,Phantom Regiment,9,88.125
2017,Blue Stars,10,87.938
2017,Crossmen,11,86.825
2017,Madison Scouts,12,85.250
2018,Santa Clara Vanguard,1,98.625
2018,Blue Devils,2,97.350
2018,Bluecoats,3,96.950
2018,Carolina Crown,4,95.500
2018,Boston Crusaders,5,94.313
2018,The Cavaliers,6,93.213
2018,The Cadets,7,92.225
2018,Blue Stars,8,90.050
2018,Blue Knights,9,88.925
2018,Mandarins,10,88.150
2018,Phantom Regiment,11,86.950
2018,Crossmen,12,86.750
2019,Blue Devils,1,98.325
2019,Bluecoats,2,98.238
2019,Santa Clara Vanguard,3,96.600
2019,Carolina Crown,4,96.563
2019,The Cavaliers,5,95.400
2019,Boston Crusaders,6,94.488
2019,Blue Knights,7,92.050
2019,Blue Stars,8,91.225
2019,The Cadets,9,89.838
2019,Mandarins,10,89.300
2019,Crossmen,11,87.550
2019,Phantom Regiment,12,87.238
2022,Blue Devils,1,98.750
2022,Boston Crusaders,2,97.325
2022,Bluecoats,2,97.325
2022,Carolina Crown,4,96.350
2022,Santa Clara Vanguard,5,95.000
2022,The Cadets,6,92.913
2022,Blue Stars,7,92.775
2022,Phantom Regiment,8,90.675
2022,The Cavaliers,9,90.600
2022,Mandarins,10,90.013
2022,Colts,11,87.200
2022,Troopers,12,86.425
2023,Blue Devils,1,98.975
2023,Bluecoats,2,97.738
2023,Carolina Crown,3,97.663
2023,Boston Crusaders,4,96.925
2023,The Cadets,5,94.313
2023,Mandarins,6,93.775
2023,Phantom Regiment,7,92.988
2023,The Cavaliers,8,92.125
2023,Colts,9,90.263
2023,Troopers,10,89.475
2023,Blue Stars,11,88.625
2023,Blue Knights,12,86.375
